message_type	message	enc_class	enc_member	offset	path	target_kind	target_class	target_method	target_param	target_index	target_path
DEREFERENCE_NULLABLE	dereferenced expression subscriberMethod.methodString is @Nullable	org.greenrobot.eventbus.Subscription	hashCode()	1676	/Users/nima/Developer/NullAwayFixer/Projects/EventBus/EventBus/src/org/greenrobot/eventbus/Subscription.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression methodString is @Nullable	org.greenrobot.eventbus.SubscriberMethod	equals(java.lang.Object)	1816	/Users/nima/Developer/NullAwayFixer/Projects/EventBus/EventBus/src/org/greenrobot/eventbus/SubscriberMethod.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression postingState.subscription is @Nullable	org.greenrobot.eventbus.EventBus	cancelEventDelivery(java.lang.Object)	12897	/Users/nima/Developer/NullAwayFixer/Projects/EventBus/EventBus/src/org/greenrobot/eventbus/EventBus.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression mainThreadPoster is @Nullable	org.greenrobot.eventbus.EventBus	postToSubscription(org.greenrobot.eventbus.Subscription,java.lang.Object,boolean)	18279	/Users/nima/Developer/NullAwayFixer/Projects/EventBus/EventBus/src/org/greenrobot/eventbus/EventBus.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression subscription is @Nullable	org.greenrobot.eventbus.EventBus	invokeSubscriber(org.greenrobot.eventbus.PendingPost)	21053	/Users/nima/Developer/NullAwayFixer/Projects/EventBus/EventBus/src/org/greenrobot/eventbus/EventBus.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression event is @Nullable	org.greenrobot.eventbus.EventBus	handleSubscriberException(org.greenrobot.eventbus.Subscription,java.lang.Object,java.lang.Throwable)	22627	/Users/nima/Developer/NullAwayFixer/Projects/EventBus/EventBus/src/org/greenrobot/eventbus/EventBus.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression findState.clazz is @Nullable	org.greenrobot.eventbus.SubscriberMethodFinder	findUsingReflectionInSingleClass(org.greenrobot.eventbus.SubscriberMethodFinder.FindState)	6407	/Users/nima/Developer/NullAwayFixer/Projects/EventBus/EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression findState.clazz is @Nullable	org.greenrobot.eventbus.SubscriberMethodFinder	findUsingReflectionInSingleClass(org.greenrobot.eventbus.SubscriberMethodFinder.FindState)	6638	/Users/nima/Developer/NullAwayFixer/Projects/EventBus/EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression findState.clazz is @Nullable	org.greenrobot.eventbus.SubscriberMethodFinder	findUsingReflectionInSingleClass(org.greenrobot.eventbus.SubscriberMethodFinder.FindState)	6839	/Users/nima/Developer/NullAwayFixer/Projects/EventBus/EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression clazz is @Nullable	org.greenrobot.eventbus.SubscriberMethodFinder$FindState	moveToSuperclass()	12131	/Users/nima/Developer/NullAwayFixer/Projects/EventBus/EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java	null	null	null	null	null	null
