kind	class	method	param	index	uri	field
METHOD	org.greenrobot.eventbus.SubscriberMethod	checkMethodString()	null	null	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/SubscriberMethod.java	methodString
METHOD	org.greenrobot.eventbus.EventBusBuilder	executorService(java.util.concurrent.ExecutorService)	null	null	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/EventBusBuilder.java	executorService
METHOD	org.greenrobot.eventbus.SubscriberMethodFinder$FindState	initForSubscriber(java.lang.Class)	null	null	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java	clazz
METHOD	org.greenrobot.eventbus.util.ErrorDialogManager$SupportManagerFragment	onCreate(android.os.Bundle)	null	null	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/util/ErrorDialogManager.java	eventBus
METHOD	org.greenrobot.eventbus.util.AsyncExecutor$Builder	threadPool(java.util.concurrent.Executor)	null	null	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/util/AsyncExecutor.java	threadPool
METHOD	org.greenrobot.eventbus.util.AsyncExecutor$Builder	failureEventType(java.lang.Class)	null	null	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/util/AsyncExecutor.java	failureEventType
METHOD	org.greenrobot.eventbus.util.AsyncExecutor$Builder	eventBus(org.greenrobot.eventbus.EventBus)	null	null	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/util/AsyncExecutor.java	eventBus
METHOD	org.greenrobot.eventbus.util.AsyncExecutor$Builder	buildForScope(java.lang.Object)	null	null	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/util/AsyncExecutor.java	eventBus
METHOD	org.greenrobot.eventbus.util.AsyncExecutor$Builder	buildForScope(java.lang.Object)	null	null	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/util/AsyncExecutor.java	threadPool
METHOD	org.greenrobot.eventbus.util.AsyncExecutor$Builder	buildForScope(java.lang.Object)	null	null	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/util/AsyncExecutor.java	failureEventType
